name,headline,imageUrl,photoCredit,realTimeWorth,realTimeRank,listWorth,listName,bioPoints,forbesRanks,forbesLists,statTitles,statValues
Eduardo Saverin,"Cofounder, Meta Platforms [../../companies/meta-platforms]","https://imageio.forbes.com/specials-images/imageserve/61114d7c57eb065321419c4e/0x0.jpg?format=jpg&crop=2236,2235,x0,y0,safe&height=416&width=416&fit=bounds",Photo by Juliana Tan for Forbes Asia,$38.2B,#43 in the world today,$29B,Singapore's 50 Richest,"Eduardo Saverin cofounded Meta Platforms, formerly Facebook, with Harvard
classmate Mark Zuckerberg in 2004.",#51,Billionaires (2025),Age,43
Robert & Philip Ng,,"https://imageio.forbes.com/specials-images/imageserve/5e77a000c7b02d000666d9d0/0x0.jpg?format=jpg&crop=780,779,x374,y134,safe&height=416&width=416&fit=bounds",Photo by ImagineChina/Newscom,$14.4B,,,Singapore's 50 Richest,"Brothers Robert and Philip Ng control Far East Organization, one of Singapore's
largest private landlords and property developers.",#2,Singapore's 50 Richest (2024),Source of Wealth,Real estate
Li Xiting,,"https://imageio.forbes.com/specials-images/imageserve/61114d1ee2a2505345419c4e/0x0.jpg?format=jpg&crop=949,950,x0,y0,safe&height=416&width=416&fit=bounds",Photo by Mindray,$12.6B,#200 in the world today,$13.4B,Singapore's 50 Richest,"Li Xiting is cofounder and chairman of Shenzhen Mindray Bio-Medical Electronics,
a supplier of medical devices.",#185,Billionaires (2025),Age,74
Kwek Leng Beng & family,,"https://imageio.forbes.com/specials-images/imageserve/66d88ebe0e02bf3ca2deb630/0x0.jpg?format=jpg&crop=1196,1195,x436,y260,safe&height=416&width=416&fit=bounds",Photo by Hong Leong Group,$11.5B,,,Singapore's 50 Richest,"Kwek Leng Beng is the executive chairman of Singapore's conglomerate Hong Leong
Group, founded by his father in 1941.",#4,Singapore's 50 Richest (2024),Age,84
Goh Cheng Liang,,"https://imageio.forbes.com/specials-images/imageserve/611527c653b47989bac8d588/0x0.jpg?format=jpg&crop=3937,3939,x0,y176,safe&height=416&width=416&fit=bounds",Photo by Lianhe Zaobao/Singapore Press Holdings Limited,$12.8B,#199 in the world today,$10.4B,Singapore's 50 Richest,"Goh Cheng Liang gets the bulk of his wealth from a majority stake in Japan's
Nippon Paint Holdings, the world's fourth-largest paint manufacturer by revenue.",#182,Billionaires (2025),Age,97
Khoo family,,"https://imageio.forbes.com/specials-images/imageserve/5d5ffd3668cb0a000917eac4/0x0.jpg?format=jpg&crop=1275,1275,x98,y192,safe&height=416&width=416&fit=bounds",,$9.2B,,,Singapore's 50 Richest,"The Khoos are the heirs of late banker Khoo Teck Puat, who invested in Standard
Chartered Bank in 1986.",#6,Singapore's 50 Richest (2024),Source of Wealth,Maybank
Wee family,,"https://imageio.forbes.com/specials-images/imageserve/66d72e8e3050ee9d48c100e4/0x0.jpg?format=jpg&crop=1020,1020,x664,y29,safe&height=416&width=416&fit=bounds",Photo by Samsul Said/Bloomberg,$7.8B,,,Singapore's 50 Richest,"The Wee family are the heirs of late banker Wee Cho Yaw, who was chairman
emeritus of United Overseas Bank when he died in February 2024 at age 95.",#7,Singapore's 50 Richest (2024),Source of Wealth,Banking
Kwee brothers,,"https://imageio.forbes.com/specials-images/imageserve/6c8f2163dc502eb7562971f3f311e036/0x0.jpg?format=jpg&crop=2710,2712,x361,y626,safe&height=416&width=416&fit=bounds",Photo by Pontiac Land Group,$6.8B,,,Singapore's 50 Richest,"The four Kwee siblings control privately held Pontiac Land, which owns an array
of luxury hotels and iconic office towers across the island nation.",#8,Singapore's 50 Richest (2024),Source of Wealth,Real estate
Leo KoGuan,,"https://imageio.forbes.com/specials-images/imageserve/631761a4d1aaf7cc2fb3ab77/0x0.jpg?format=jpg&crop=2041,2040,x0,y300,safe&height=416&width=416&fit=bounds",Photo by Desiree Navarro/WireImage/Getty Images,$8.1B,#389 in the world today,$6.7B,Singapore's 50 Richest,"Leo KoGuan is founder and chairman of $9.5 billion (sales) IT provider SHI
International, which his ex-wife Thai Lee, also a billionaire, runs as CEO.",#411,Billionaires (2025),Age,70
Zhang Yong & Shu Ping,,"https://imageio.forbes.com/specials-images/imageserve/61114dfd5d2a147735cf31f1/0x0.jpg?format=jpg&crop=2099,2099,x0,y0,safe&height=416&width=416&fit=bounds",Photo by Bobby Yip/Reuters/Newscom,$6.5B,,,Singapore's 50 Richest,"Zhang Yong is the chairman of Sichuan hot pot chain Haidilao, which went public
in 2018. His wife Shu Ping is a cofounder.",#10,Singapore's 50 Richest (2024),Source of Wealth,"Restaurants, Self Made"
