No,Category,Entity,Period,Data
1,Annual Report,MITSUBISHI CORPORATION 2025,20250619,849399_Corporate Governance Report 2025.pdf
2,Annual Report,SCOTIABANK CHILE 2025,20250330,838130_EEFF_Scotiabank_Chile_Consolidado_Dec24_ENG.pdf
3,Annual Report,SIA ENGINEERING COMPANY LIMITED 2025,20250330,849465_SIAEC Annual Report 2024_25.pdf
4,Annual Report,"IBIDEN CO., LTD. 2025",20250330,844770_1ConsolidatedFinancialResultsFortheYearEndedMarch31_2025.pdf
5,Annual Report,MITSUBISHI CORPORATION 2025,20250330,849164_mcpr250618e.pdf
6,Annual Report,PHILLIP CAPITAL MANAGEMENT (S) LTD 2025,20250330,847184_PHILLIP STRATEGY FUNDS-SAR-31Mar25.pdf
7,Annual Report,"MITSUI & CO., LTD. 2025",20250330,849072_20250617Mitsuico2503ASR.pdf
8,Annual Report,MAPLETREE LOGISTICS TRUST MANAGEMENT LTD. 2025,20250330,849338_20250620-MLT-Annual Report 2024-25.pdf
9,Annual Report,PHILLIP CAPITAL MANAGEMENT (S) LTD 2025,20250330,847182_Phillip SGX APAC Dividend Leaders REIT ETF-SAR-31Mar25.pdf
10,Annual Report,MAPLETREE INDUSTRIAL TRUST MANAGEMENT LTD. 2025,20250330,849749_20250625_MIT_AR2024_2025.pdf
11,Annual Report,SATS LTD. 2025,20250330,849946_SATS_Letter_to_Shareholders_2025.pdf
12,Annual Report,ORIX CORPORATION 2025,20250330,849763_2503_20-F_Filing.pdf
13,Annual Report,NTT FINANCE CORPORATION 2025,20250330,849078_Consolidated Financial Statements NTTFINANCE CORPORATION AND CONSOLIDATED SUBSIDIARIES.pdf
14,Annual Report,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED 2025,20250330,847661_APSEZAnnual Report.pdf
15,Annual Report,SINGAPORE AIRLINES LIMITED 2025,20250330,849758_SIA AR 2024_25.pdf
16,Annual Report,ADANI TRANSMISSION LIMITED 2025,20250330,847676_ANNUALREPORT-SE Intimation.pdf
17,Annual Report,NETLINK NBN MANAGEMENT PTE. LTD. 2025,20250330,849624_NetLinkNBN-Letter to Unitholder.pdf
18,Annual Report,PHILLIP CAPITAL MANAGEMENT (S) LTD 2025,20250330,850281_Phillip Growth Mar 25 - Financial Statement ANNUAL_FINAL COPY.pdf
19,Annual Report,MPACT MANAGEMENT LTD. 2025,20250330,850083_20250627-MPACT_Annual Report 2024_25.pdf
20,Annual Report,SINGAPORE POST LIMITED 2025,20250330,849634_SPL_AR 2024_25.pdf
21,Annual Report,ORIX CORPORATION 2025,20250330,845149_2503_6-K_Filing.pdf
22,Annual Report,MTQ CORPORATION LIMITED 2025,20250330,850480_MTQ - FY2025 Annual Report.pdf
23,Annual Report,MACQUARIE BANK LIMITED 2025,20250330,844961_Announcement re release of MBL 2025 annual financial_clean.pdf
24,Annual Report,SINGAPORE TELECOMMUNICATIONS LIMITED 2025,20250330,850270_Singtel Annual Report 2025.pdf
25,Annual Report,AIMS APAC REIT MANAGEMENT LIMITED 2025,20250330,850078_AA REIT Annual Report FY2025.pdf
26,Annual Report,ABUNDANTE LIMITED 2025,20250227,848214_Abundante AR2025.pdf
27,Annual Report,FORTRESS MINERALS LIMITED 2025,20250227,848330_Fortress Minerals Limited - Annual Report 2025.pdf
28,Annual Report,DUTY FREE INTERNATIONAL LIMITED 2025,20250227,848110_01 DFI_AR2025.pdf
29,Annual Report,FOOD INNOVATORS HOLDINGS LIMITED 2025,20250227,848845_Annual Report FY2025.pdf
30,Annual Report,FEDERAL NATIONAL MORTGAGE ASSOCIATION 2025,20250213,833231_Fannie Mae 2024 Form 10K.pdf
31,Annual Report,"SEKISUI HOUSE, LTD. 2025",20250130,841907_Consolidated Financial Statements 2024 with Independent Auditor Report.pdf
32,Annual Report,LOW KENG HUAT (SINGAPORE) LIMITED 2025,20250130,844851_20250508_LKHS_Annual Report.pdf
33,Annual Report,AMP LIMITED 2025,20250130,833066_6. Appendix 4G and 2024 Corporate Governance Statement.pdf
34,Annual Report,RECLAIMS GLOBAL LIMITED 2025,20250130,844399_Reclaims Annual Report 2025.pdf
35,Annual Report,SCOTIABANK CHILE 2024,20241230,839388_Memoria Scotiabank 2024-ENG - Final.pdf
36,Annual Report,NORDIC GROUP LIMITED 2024,20241230,840619_NGL_Annual Report 2024.pdf
37,Annual Report,MINDCHAMPS PRESCHOOL LIMITED  2024,20241230,841237_.MPL Annual Report FY2024 final.pdf
38,Annual Report,SHENG SIONG GROUP LTD. 2024,20241230,839070_SSG - FY2024 Annual Report.pdf
39,Annual Report,IREIT GLOBAL GROUP PTE. LTD. 2024,20241230,838429_IREIT FY2024 Annual Report.pdf
40,Annual Report,BIOLIDICS LIMITED 2024,20241230,840647_Biolidics Annual Report 2024.pdf
41,Annual Report,OCEANUS GROUP LIMITED 2024,20241230,841117_Annual Report FY2024 H.pdf
42,Annual Report,VENTURE CORPORATION LIMITED 2024,20241230,838420_Annual_Report_2024.pdf
43,Annual Report,SERIAL SYSTEM LTD 2024,20241230,840996_Serial System AR2024_150425_Final.pdf
44,Annual Report,SHANGRI-LA ASIA LIMITED 2024,20241230,842438_e0069_250415_ar.pdf
45,Annual Report,HONGKONG LAND HOLDINGS LIMITED 2024,20241230,839260_HKL AR2024 locked.pdf
