Filename,Organization,Industry
842974_E01238.pdf,China CITIC Bank International Limited,banking
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS39,real estate
842974_E01238.pdf,GroupZhoushan,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS9,real estate
842974_E01238.pdf,the PRC宿遷寶龍置業發展有限公司Suqian Powerlong Property Development Co.,real estate
842974_E01238.pdf,Bank of China,real estate
842974_E01238.pdf,the PRC諸暨潤龍置業有限公司Zhuji Runlong Property Development Co.,real estate
842974_E01238.pdf,operations上海洪誠實業發展（集團）有限公司Shanghai Hongcheng Industry Development (Group) Co.,real estate
842974_E01238.pdf,Research Team,real estate
842974_E01238.pdf,"Tusincere Technology City Investment Group Co., Ltd.",finance
842974_E01238.pdf,Audit Committee,real estate
842974_E01238.pdf,BUSINESS08Powerlong Real Estate Holdings,real estate
842974_E01238.pdf,"Shiyue Real Estate Co., Ltd.",real estate
842974_E01238.pdf,"year(5,495,197)(2,572,018)1,450,5627,196,3388,934,214",finance
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS30,real estate
842974_E01238.pdf,Anbao Real Estate Development Company Limited,real estate
842974_E01238.pdf,Finance,finance
842974_E01238.pdf,"the GroupTianjin Hongyao Decoration Engineering Co., Ltd.",real estate
842974_E01238.pdf,"the GroupQingdao Hailong Yilian Real Estate Co., Ltd.",real estate
842974_E01238.pdf,operations杭州龍耀實業有限公司Hangzhou,real estate
842974_E01238.pdf,China26Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,"Tianqu Real Estate Co., Ltd.",technology
842974_E01238.pdf,"Bank Co., Ltd.",banking
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS23 BORROWINGS (CONTINUED)(d,real estate
842974_E01238.pdf,HSBC,banking
842974_E01238.pdf,Hong Kong寶龍置地發展有限公司Powerlong Land Development,real estate
842974_E01238.pdf,EQUIPMENTLeasehold,real estate
842974_E01238.pdf,"loss9,373117,889Total",real estate
842974_E01238.pdf,HKAS 1Non,finance
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS7 INVESTMENT PROPERTIES,real estate
842974_E01238.pdf,Chengyuan Property Development Co.,real estate
842974_E01238.pdf,ANALYSISHotel BusinessThe Group,real estate
842974_E01238.pdf,the Plans and Measures,finance
842974_E01238.pdf,"services2,386,6942,267,433Income",real estate
842974_E01238.pdf,"Tusincere Technology City Investment Group Co., Ltd.",technology
842974_E01238.pdf,Xuxin Enterprise Management Co.,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS17,real estate
842974_E01238.pdf,Sincere Property Holding Group,technology
842974_E01238.pdf,Lanyu (Shanghai) Business Consulting Center,real estate
842974_E01238.pdf,"companyRMB61,477,200100%–Property",real estate
842974_E01238.pdf,Changeswith New Solutions,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS7,real estate
842974_E01238.pdf,Refine Operations,real estate
842974_E01238.pdf,Changshu Guli,real estate
842974_E01238.pdf,dateof incorporation,real estate
842974_E01238.pdf,HKFRS,real estate
842974_E01238.pdf,the China Real Estate Top 10,real estate
842974_E01238.pdf,REPORTThe Group’s,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings Limited43The Board,real estate
842974_E01238.pdf,PwC. Elite Partners,real estate
842974_E01238.pdf,"Sincere Holding Group Co., Ltd.",finance
842974_E01238.pdf,Suqian Powerlong Property Development Company Limited,real estate
842974_E01238.pdf,"properties1,907,7441,813,970Income",real estate
842974_E01238.pdf,Suqian Powerlong Commercial Property Management Company Limited,real estate
842974_E01238.pdf,The Audit Committee,finance
842974_E01238.pdf,Company,technology
842974_E01238.pdf,"sale13,394,0995,689,711Restricted",finance
842974_E01238.pdf,"HK) Trading Co., Ltd.",real estate
842974_E01238.pdf,Powerlong Amusement Management Company Limited,technology
842974_E01238.pdf,紹興袍江寶龍廣場)Commercial,real estate
842974_E01238.pdf,Hong Kong鵬燁企業管理（香港）有限公司Pengye Enterprise Management,real estate
842974_E01238.pdf,"Hong Kong紹興聚嶸置業有限公司Shaoxing Jurong Property Development Co., Ltd.",real estate
842974_E01238.pdf,KTC Partners CPA Limited,real estate
842974_E01238.pdf,"the GroupTiantai Maolong Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,"companyRMB10,000,00060%40%Property",real estate
842974_E01238.pdf,Shanghai YueshangOn,real estate
842974_E01238.pdf,"LIABILITIESTotal equity49,398,67955,318,84062,601,59462,407,45251,801,166LiabilitiesNon-",real estate
842974_E01238.pdf,Company,banking
842974_E01238.pdf,"Haohu Real Estate Development Co., Ltd.",real estate
842974_E01238.pdf,"the GroupShanghai Mijie Property Management Co., Ltd.",technology
842974_E01238.pdf,HK) Trading Co.,technology
842974_E01238.pdf,the Board,real estate
842974_E01238.pdf,"the Controlling ShareholderShanghai Yueshang Information Technology Co., Ltd.",technology
842974_E01238.pdf,"the GroupShanghai Taoxia Enterprise Management Co., Ltd.",real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS41,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings,finance
842974_E01238.pdf,Beijing Capital Grand Limited,technology
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS6,real estate
842974_E01238.pdf,MANAGEMENT36Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,Related Party Transactions,real estate
842974_E01238.pdf,the Commercial Real Estate Industry,real estate
842974_E01238.pdf,the GroupPowerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,China Celebrities Achievement Award,real estate
842974_E01238.pdf,Working Group on Professional Services under Economic Development Commission,finance
842974_E01238.pdf,SIGNIFICANCEThere,real estate
842974_E01238.pdf,Shanghai University of Finance and Economics,finance
842974_E01238.pdf,Influential Entrepreneur,real estate
842974_E01238.pdf,"the GroupShanghai Xiafeng Enterprise Management Co., Ltd.",real estate
842974_E01238.pdf,"net(1,994,601)Loss",finance
842974_E01238.pdf,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT,real estate
842974_E01238.pdf,"Shanghai Yueshang Information Technology Co., Ltd.",technology
842974_E01238.pdf,Zhongliang Property Development Co.,real estate
842974_E01238.pdf,Luso International Banking Limited,banking
842974_E01238.pdf,Ansteel Group Corporation Limited,real estate
842974_E01238.pdf,CODM,real estate
842974_E01238.pdf,Jinlong Industrial Development Co.,real estate
842974_E01238.pdf,Shanghai Forte Land Company Limited,real estate
842974_E01238.pdf,"5,495,197)(2,572,018)1,450,5627,196,3388,934,214",finance
842974_E01238.pdf,ChinaARTELS+,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings,technology
842974_E01238.pdf,the Consolidated Financial Statements 78Five-year,real estate
842974_E01238.pdf,"year(1,012,885)Withdrawal",real estate
842974_E01238.pdf,the PRC上海寶龍芳駿房地產開發有限公司Shanghai Powerlong Fangjun Real Estate Development Co.,real estate
842974_E01238.pdf,ANALYSISNet Gearing RatioAs,real estate
842974_E01238.pdf,the “Board,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS15,real estate
842974_E01238.pdf,the China Real Estate Association,real estate
842974_E01238.pdf,Luso Bank,banking
842974_E01238.pdf,Land Lot Project,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS9,finance
842974_E01238.pdf,"Jiayi Real Estate Co., Ltd.",real estate
842974_E01238.pdf,Powerlong Real Estate Holdings LimitedFIVE-YEAR FINANCIAL SUMMARY175CONSOLIDATED BALANCE,real estate
842974_E01238.pdf,"follows:31 December20242023RMB’000RMB’000Segment assets178,190,217200,285,208Other",real estate
842974_E01238.pdf,the industry.06Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,University of Wolverhampton,finance
842974_E01238.pdf,government.20 SHARE CAPITAL Number,real estate
842974_E01238.pdf,China Real Estate Chamber of Commerce,real estate
842974_E01238.pdf,ChinaRadisson Blu ShanghaiPudong JinqiaoOpening Date,real estate
842974_E01238.pdf,award schemesPowerlong Commercial Management Holding Limited,real estate
842974_E01238.pdf,the PRC蚌埠寶龍置業有限公司Bengbu Powerlong Property Development Co.,real estate
842974_E01238.pdf,JUDGEMENTS,real estate
842974_E01238.pdf,Ningbo Youngor,technology
842974_E01238.pdf,Xiamen Powerlong Group,real estate
842974_E01238.pdf,andresidentialpropertymanagementOtherpropertydevelopmentrelatedbusinessesGroupRMB’000RMB’000RMB’000RMB’000RMB’000Gross,real estate
842974_E01238.pdf,Kangrui Real Estate Development Co.,real estate
842974_E01238.pdf,follows:31 December20242023RMB’000RMB’000Current income tax,real estate
842974_E01238.pdf,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT OF CASH,real estate
842974_E01238.pdf,"individualsRMB800,001",real estate
842974_E01238.pdf,the Company and Elite Partners CPA Limited,real estate
842974_E01238.pdf,"net4,007,038–––4,007,038Share",real estate
842974_E01238.pdf,LeasebackAmendments,real estate
842974_E01238.pdf,"the GroupShanghai Baoshen Digital Technology Co., Ltd.",technology
842974_E01238.pdf,Group,real estate
842974_E01238.pdf,THE CONSOLIDATED FINANCIAL STATEMENTS26,real estate
842974_E01238.pdf,62Powerlong Real Estate Holdings Limited,real estate
842974_E01238.pdf,HKAS,real estate
