Filename,Person,Organization
842974_E01238.pdf,Hoi Kin,the Skylong Trust
842974_E01238.pdf,Hoi Wa,62Powerlong Real Estate Holdings Limited
842974_E01238.pdf,Skylong,SH
842974_E01238.pdf,Basic(139.2)(64.1)9.9144.7147.1,Perpetual Capital
842974_E01238.pdf,Powerlong,THE CONSOLIDATED FINANCIAL STATEMENTS26
842974_E01238.pdf,Fujian Ping,Controlling ShareholderQingdao Powerlong Amusement Management Company Limited
842974_E01238.pdf,Shih,Group
842974_E01238.pdf,Chonqing MunicipalityChongqing,Powerlong Real Estate Holdings Limited
842974_E01238.pdf,PRC39,"liabilitycompanyRMB1,000,000,000100%–Property"
842974_E01238.pdf,Tower1399,Perpetual Capital
842974_E01238.pdf,Xiao Qing Ping,Limited
842974_E01238.pdf,Mingshi Haoting,Changshu Guli
842974_E01238.pdf,Hong,The Chartered Governance Institute
842974_E01238.pdf,Powerlong,"the PRC上海寶龍實業發展（集團）有限公司Shanghai Powerlong Industrial Development (Group) Co., Ltd."
842974_E01238.pdf,ofunobservable inputsto,THE CONSOLIDATED FINANCIAL
842974_E01238.pdf,Wa Fong,Family Limited
842974_E01238.pdf,December20242023RMB’000RMB’000Loss,Finance
842974_E01238.pdf,2010.GUO Zheng,Company
842974_E01238.pdf,HKFRS,Hong Kong Financial Reporting Standards
842974_E01238.pdf,Hong,"GroupHangzhou Juyou Enterprise Management Co., Ltd."
842974_E01238.pdf,Xiao Lan,2024)The Remuneration Committee
842974_E01238.pdf,Hoi Wa,Huihong Management
842974_E01238.pdf,Hong,China CITIC Bank International Limited
842974_E01238.pdf,Xiao,Limited
842974_E01238.pdf,DIRECTORS,DIRECTORSThe Company
842974_E01238.pdf,Hong,Powerlong Real Estate Holdings Limited55CORPORATE GOVERNANCE REPORTThe Company
842974_E01238.pdf,Hoi,Powerlong Real Estate Holdings
842974_E01238.pdf,Powerlong,dateof incorporation
842974_E01238.pdf,Cap,OCI
842974_E01238.pdf,Hong,Sky Infinity
842974_E01238.pdf,Powerlong,"year(5,495,197)(2,572,018)1,450,5627,196,3388,934,214"
842974_E01238.pdf,Xin Fu Zhong Road,Limited
842974_E01238.pdf,Hoi Kin HongHoi Wa FongDirectorDirector,the Board of Directors
842974_E01238.pdf,Zu Yu,LimitedDirectors
842974_E01238.pdf,Hoi,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT OF COMPREHENSIVE INCOMEYear
842974_E01238.pdf,Fenghua Powerlong Huaxiang,the PRC鹽城寶龍置業發展有限公司Yancheng Powerlong Property Development Co.
842974_E01238.pdf,December20242023NoteRMB’000RMB’000Cash,"borrowings235,5523,329,483Repayments"
842974_E01238.pdf,Gaochun Powerlong Plaza,Powerlong Land
842974_E01238.pdf,Liu Xiao Lan,Limited
842974_E01238.pdf,Hoi Wa Fan,Sky Infinity
842974_E01238.pdf,Yiu Wah,Hong Kong
842974_E01238.pdf,Powerlong,Residential Property Management ServicesFor
842974_E01238.pdf,Powerlong,"borrowings235,5523,329,483Repayments"
842974_E01238.pdf,Hong,Bosideng International Holdings Limited
842974_E01238.pdf,December20242023NoteRMB’000RMB’000Cash,SH
842974_E01238.pdf,Wong Lai Chan,Holdings Limited
842974_E01238.pdf,Cap,TMF
842974_E01238.pdf,Hoi,AUDITOR
842974_E01238.pdf,Powerlong,"Jiayi Real Estate Co., Ltd."
842974_E01238.pdf,Wenchuanggang Project,Powerlong Real Estate Holdings
842974_E01238.pdf,Cap,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT OF CASH
842974_E01238.pdf,"Youngor Baolong Real Estate Co., Ltd.","Tianqu Real Estate Co., Ltd."
842974_E01238.pdf,Powerlong Yingju,"Powerlong Real Estate Co., Ltd."
842974_E01238.pdf,Chen,Tianfu Institute of Building Economy
842974_E01238.pdf,TOD Fengyong New,Limited
842974_E01238.pdf,locationGFA,Residential Property Management ServicesFor
842974_E01238.pdf,Hong,Professional Services Panel
842974_E01238.pdf,Wa Fong,Huihong Management
842974_E01238.pdf,Eligible,Requisition
842974_E01238.pdf,Hong,the General Committee
842974_E01238.pdf,PRC39,"Real Estate Co., Ltd."
842974_E01238.pdf,Hong,GFA
842974_E01238.pdf,Cap,Hong Kong
842974_E01238.pdf,Liu,"Kunshan Stereo City Investment Management Co., Ltd."
842974_E01238.pdf,Sze Ni Cecilia,SH
842974_E01238.pdf,Powerlong Yingju Real Estate Co.,"Powerlong Real Estate Co., Ltd."
842974_E01238.pdf,"net5,333,8464,007,038Share",Powerlong Real Estate Holdings
842974_E01238.pdf,Hoi Kin HongThe,Shareholders
842974_E01238.pdf,Wang Ping Hui,Corporate Services Group
842974_E01238.pdf,Tianchang Project,Powerlong Land
842974_E01238.pdf,Basic(139.2)(64.1)9.9144.7147.1,Finance
842974_E01238.pdf,DIRECTORS,Powerlong Real Estate Holdings LimitedDIRECTORSExecutive
842974_E01238.pdf,Powerlong,Real Estate Development Co.
842974_E01238.pdf,Hoi Wa,Prospectus
842974_E01238.pdf,Hong,the Mandatory Provident Fund Scheme Ordinance
842974_E01238.pdf,Hoi Kin HongThe,the CompanySky Infinity Holdings LimitedShareholder of the Company
842974_E01238.pdf,DIRECTORS,SH
842974_E01238.pdf,Ningbo Wujiangkou Jianghuicheng,Land Lot Shuoyuan
842974_E01238.pdf,中國商業地產行業傑出貢獻獎,China Commercial Property Industry Leader
842974_E01238.pdf,Hong,"subsidiaries6,306,8636,306,863Amounts"
842974_E01238.pdf,Powerlong,Powerlong Foundation
842974_E01238.pdf,中華名人成就獎「十大傑出名人」,Influential Entrepreneur
842974_E01238.pdf,Chonqing MunicipalityChongqing,南昌九龍湖項目)Commercial
842974_E01238.pdf,"properties(3,164,148)(1,723,987)Proceeds","equipment193,205115,110 Proceeds"
842974_E01238.pdf,Shih,the Board
842974_E01238.pdf,Wa Fong,the Sky Infinity Trust
842974_E01238.pdf,Powerlong,GFA
842974_E01238.pdf,Fujian Ping,Limited
842974_E01238.pdf,Powerlong Land,Bay Tianpo
842974_E01238.pdf,Powerlong,ANALYSISHotel BusinessThe Group
842974_E01238.pdf,Chen,Zhangjiagang Project
842974_E01238.pdf,locationGFA,GFA
842974_E01238.pdf,Leung,Powerlong Real Estate Holdings
842974_E01238.pdf,Skylong,"Holdings LimitedBeneficial owner249,523,0006.03%Walong Holdings LimitedBeneficial"
842974_E01238.pdf,Hai,Hong Kong
842974_E01238.pdf,Chen,SH
842974_E01238.pdf,Jun,the Group for
842974_E01238.pdf,"RMB1,431,6041,511,4901,431,6041,511,490",SH
842974_E01238.pdf,GroupQuanzhou,Real Estate Development Co.
842974_E01238.pdf,Wai Fung,Powerlong Real Estate Holdings
842974_E01238.pdf,Powerlong Fumin,operations杭州龍耀實業有限公司Hangzhou
842974_E01238.pdf,Powerlong,Radisson Blu Shanghai Pudong Jinqiao (上海寶龍麗笙酒店)
842974_E01238.pdf,Hai Di,Powerlong Real Estate Holdings
842974_E01238.pdf,2023.As,Powerlong Industrial Development Co.
842974_E01238.pdf,Powerlong,DirectorsThe
842974_E01238.pdf,"assets14,520,611Total assets214,805,819Segment",Powerlong Real Estate Holdings
842974_E01238.pdf,Hoi Wa,"Group Development Co., Ltd."
842974_E01238.pdf,Kang,THE CONSOLIDATED FINANCIAL
842974_E01238.pdf,Hai,Group
842974_E01238.pdf,Leung,Vistra Corporate Services
842974_E01238.pdf,Ngai,"SPI Energy Co., Ltd."
842974_E01238.pdf,Wa Fan,"HK) Trading Co., Ltd"
842974_E01238.pdf,Powerlong,金華義烏青口寶龍廣場)Commercial
842974_E01238.pdf,Xiao,Holdings Limited
842974_E01238.pdf,ofunobservable inputsto,Powerlong Real Estate Holdings Limited
842974_E01238.pdf,Hong,Powerlong Real Estate Holdings
842974_E01238.pdf,Hechuan Powerlong Plaza,南昌九龍湖項目)Commercial
842974_E01238.pdf,OVERVIEWProperty DevelopmentAs,Group
842974_E01238.pdf,"Hoi21,37621,37621,37621,376––Unsecured","Powerlong Group Development Co., Ltd."
842974_E01238.pdf,Chen,Real Estate Development Co.
842974_E01238.pdf,POWERLONG PLAZAXIAMEN,SH
842974_E01238.pdf,Hong,Powerlong Real Estate Holdings LimitedCONSOLIDATED STATEMENT OF COMPREHENSIVE INCOMEYear
842974_E01238.pdf,Xin Fu Zhong Road,Holdings Limited
842974_E01238.pdf,Wa Fong,the Board of Directors
842974_E01238.pdf,Hoi Wa Fong,Company
842974_E01238.pdf,Powerlong,Hong Kong Institute of Certified Public Accountants
842974_E01238.pdf,Shih Sze Ni Cecilia,Powerlong Real Estate Holdings
842974_E01238.pdf,Liu,Real Estate Holdings Limited
842974_E01238.pdf,Kang,the Stock Exchange
842974_E01238.pdf,Hoi,Limited
842974_E01238.pdf,Hoi Wa Fong,Investments
842974_E01238.pdf,Hoi,CONTINUED)(a
842974_E01238.pdf,"Hoi21,37621,37621,37621,376––Unsecured",Company
